EIF4H,FOXH1,FTSJ1,LIMK1,NOP2,NSUN5,PDLIM1,WBSCR22,BAZ1B,H2AFX,MCPH1,NIF3L1,NSUN5P2,RFC2,SMARCA5,GTF2IRD1,MXD4,CLDN3,MLXIPL,TBL2,TRIM74,VPS37D,WDR13,CHPF,B4GALNT1,CLDN4,EFEMP2,ELN,FBN1,GALNT9,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0.73,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,1,2.272039839,0.333600222,0.01566436,0.03143901,-0.17113792,0.206705744,-0.504248285,-1.175592128,-1.008470843,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.663799814,-0.35540012,-0.39889375,-0.388502396,-0.343147951,-0.343584145,-0.280176813,-0.276374374,-0.277720265,
0,0,0,0,0.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531,0,0,0,0,0,0,0,1,2.587020672,-0.101948951,-0.278896978,-0.346813753,-0.607956846,0.141556516,-0.604804089,-0.522207131,-0.26594944,
0.73,0,0,0,0,0.536,0,0,0,0,0,0,0,0.406,0,0.502,0,0,0.462,0.607,0,0,0,0,0,0,0,0.651,0,0,1,2.257127571,0.185817815,-0.394082163,0.32805778,-0.412651572,0.31532861,-0.164790242,-1.250857925,-0.863949875,
0,0,0.539,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.623371647,-0.036639882,-0.069203775,-0.314556864,-0.50328043,-0.269503352,-0.418622553,-0.501103556,-0.510461236,
0,0,0,0.536,0,0,0,0.532,0.425,0,0,0,0,0,0,0.619,0,0,0.579,0.675,0,0,0,0,0,0,0,0,0,0,1,2.399474545,0.187757481,-0.269666227,0.268404056,-0.107241519,-0.013553329,-0.726382013,-0.793592065,-0.945200929,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,1,2.62785751,-0.389630783,-0.524608964,-0.240627075,-0.525506037,-0.38296486,-0.416800386,-0.105364076,-0.042355329,
0,0,0,0,0.41,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.418090291,-0.873821539,-0.433516834,0.066122135,-0.397652849,-0.846315006,-0.339536049,0.452945409,-0.046315558,
0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0.996,0.409,0,0,0.4,0.504,0,0,0,0,0,0,0,0,0,0,2,1.260771009,1.178226156,1.391647989,-0.618381999,-0.320670886,-0.26082198,-0.626455734,-1.258297903,-0.746016653,
0,0,0,0,0,0,0,0,0,0,0.767,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.134480336,0.474188392,1.567733272,0.562730745,-0.098518119,-0.706058455,-0.700649023,-0.785787268,-1.448119881,
0,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.183552322,0.514384279,1.440816969,0.054332192,-0.420140235,0.480670346,-0.623051903,-1.318307889,-1.312256082,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,0.869,0,0,0,0,0,0,0,0,0,0,0,2,1.53743262,0.706376101,1.355318126,0.135425815,-0.218338241,-0.606993757,-0.816571663,-0.976991409,-1.115657593,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,2,1.328846544,0.870678376,0.215229187,0.204331832,1.220672763,-0.784814602,-0.680711701,-1.196518651,-1.177713748,
0.63,0,0,0.406,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.238191457,0.45355185,0.662838797,-0.293280012,-0.062411113,-0.719416306,-0.814637354,-0.759419705,-0.705417614,
0,0,0,0,0,0,0,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.561390396,1.542851211,0.664369658,-0.176383825,-0.610022053,-0.609954018,-0.579866103,-0.790282537,-1.002102731,
0,0.502,0,0.502,0,0.619,0.623,0,0.409,0,0,0,0,0,0,0,0,0,0.55,0.657,0,0,0,0,0,0,0,0.462,0,0,3,-2.413795111,0.917573908,0.707577795,0.33054212,-0.339716266,0.334294615,0.604884458,-0.31428913,0.172927612,
0,0,0,0,0,0,0,0,0,0,0,0.778,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,3,-1.738187291,1.433843207,-0.885597249,-0.365272316,0.075605101,-0.15532933,-0.189380384,0.54113661,1.283181653,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,0,0,0,0,4,-1.294488713,-1.111832181,-0.932487088,0.270859647,-0.282749136,1.588748518,0.26455993,1.167074259,0.330314764,
0,0,0,0.462,0,0.579,0,0,0.4,0,0,0.869,0,0,0,0.55,0.79,0,0,0.659,0,0,0,0,0,0,0,0,0,0,4,-0.893163876,-0.705144363,-1.02732331,0.184415954,-0.102396756,2.286289999,0.021533184,-0.300290956,0.536080123,
0,0,0,0.607,0,0.675,0,0,0.504,0,0,0,0,0,0,0.657,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,4,-1.685989199,-0.666066058,-0.738873071,0.224696941,-0.221583733,1.86357786,0.659313018,0.30579822,0.259126022,
0,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0.565,0,0,0,0,0,0,0,0,4,-1.869900185,-0.723284989,0.238151991,0.523450737,1.110618203,0.644289962,1.027540049,-0.971981633,0.021115866,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,0,0,0,0,0,0,0,0,4,-2.167842538,-0.626862395,-0.600815044,0.417911668,0.867501229,0.972513537,0.706277047,0.417757484,0.013559012,
0,0,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.949368803,-0.859091883,-0.918122568,0.550913474,0.310426186,0.871959402,0.473301431,0.560489443,0.959493317,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0,0.675,5,-0.653963547,-1.265358411,-1.195645585,-0.676249024,-0.093193987,0.950402888,0.594812076,1.372881444,0.966314146,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,0,0,0,0,0.465,6,0.039602243,-1.48070026,-0.6789232,-0.499957971,0.648911433,-0.766660499,0.58365608,0.232778583,1.92129359,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.98807419,-0.949157139,-0.847837844,-0.460540388,-0.349256637,0.067262878,0.433142518,1.335189253,1.75927155,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972,0.735,0,6,-0.794760394,-0.498981955,-0.480831275,-0.200453444,-0.37766033,-0.34140895,-0.372183347,0.59792618,2.468353514,
0.556,0,0,0.651,0,0,0.609,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0.972,0,0.991,0,6,-0.82718527,-0.798290067,-0.783451244,-0.433090915,-0.386237051,0.12228724,0.017924795,0.856752712,2.2312898,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735,0.991,0,0,6,-1.330551449,-0.424855448,-0.864764468,-0.757523797,-0.425141927,0.411064847,0.531099111,1.385843925,1.474829205,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675,0.465,0,0,0,0,0,6,-0.850225049,-0.880868405,-0.770523941,0.223473088,-0.811197791,-0.362658409,0.297343707,1.534697265,1.619959537,
