Gene_Symbol,Day,Value,Cluster
ACTB,d0,2.56456966,1
ACTB,d7,0.150105171,1
ACTB,d12,-0.062102261,1
ACTB,d19,-0.207407321,1
ACTB,d26,-0.747372954,1
ACTB,d33,-0.34895873,1
ACTB,d49,-0.274348585,1
ACTB,d63,-0.639006303,1
ACTB,d77,-0.435478677,1
ADCY2,d0,1.265821499,1
ADCY2,d7,-1.61489463,1
ADCY2,d12,1.122738638,1
ADCY2,d19,0.43022826,1
ADCY2,d26,0.838268931,1
ADCY2,d33,-0.042190419,1
ADCY2,d49,-0.231915002,1
ADCY2,d63,-0.991033772,1
ADCY2,d77,-0.777023504,1
APBA3,d0,2.143711342,1
APBA3,d7,0.283977678,1
APBA3,d12,-0.106353227,1
APBA3,d19,0.769547139,1
APBA3,d26,-0.238667527,1
APBA3,d33,-0.243211282,1
APBA3,d49,-1.268658371,1
APBA3,d63,-0.889801211,1
APBA3,d77,-0.450544541,1
APOC1,d0,2.550110357,1
APOC1,d7,0.245882418,1
APOC1,d12,-0.265055114,1
APOC1,d19,-0.158122912,1
APOC1,d26,-0.290347465,1
APOC1,d33,-0.161707085,1
APOC1,d49,-0.623085966,1
APOC1,d63,-0.632167191,1
APOC1,d77,-0.665507043,1
ARC,d0,2.620837678,1
ARC,d7,-0.349352672,1
ARC,d12,0.101332239,1
ARC,d19,-0.358635475,1
ARC,d26,-0.546528991,1
ARC,d33,-0.3758586,1
ARC,d49,-0.498202745,1
ARC,d63,-0.242344126,1
ARC,d77,-0.351247309,1
BAX,d0,2.064481916,1
BAX,d7,-0.65475263,1
BAX,d12,0.784289045,1
BAX,d19,0.078134602,1
BAX,d26,0.40375208,1
BAX,d33,-0.015433357,1
BAX,d49,-0.555023445,1
BAX,d63,-1.041814191,1
BAX,d77,-1.063634019,1
C1QB,d0,2.621377351,1
C1QB,d7,-0.454095559,1
C1QB,d12,-0.454095559,1
C1QB,d19,-0.454095559,1
C1QB,d26,-0.131032996,1
C1QB,d33,-0.454095559,1
C1QB,d49,0.05743847,1
C1QB,d63,-0.454095559,1
C1QB,d77,-0.277305031,1
CASP3,d0,2.625959262,1
CASP3,d7,-0.637561803,1
CASP3,d12,-0.292300378,1
CASP3,d19,-0.023828783,1
CASP3,d26,-0.521711466,1
CASP3,d33,-0.341646912,1
CASP3,d49,-0.292051339,1
CASP3,d63,-0.213292095,1
CASP3,d77,-0.303566485,1
CBS,d0,2.660008241,1
CBS,d7,-0.20505251,1
CBS,d12,-0.305799344,1
CBS,d19,-0.38075897,1
CBS,d26,-0.251341879,1
CBS,d33,-0.425237111,1
CBS,d49,-0.383459207,1
CBS,d63,-0.384939154,1
CBS,d77,-0.323420066,1
CDR2,d0,1.457792947,1
CDR2,d7,-1.312655659,1
CDR2,d12,-0.432373561,1
CDR2,d19,-0.283296714,1
CDR2,d26,-0.537714659,1
CDR2,d33,1.823839338,1
CDR2,d49,-0.047579751,1
CDR2,d63,-0.186255974,1
CDR2,d77,-0.481755968,1
CH25H,d0,2.663808539,1
CH25H,d7,-0.342713829,1
CH25H,d12,-0.338226581,1
CH25H,d19,-0.361664608,1
CH25H,d26,-0.37201769,1
CH25H,d33,-0.37201769,1
CH25H,d49,-0.350020616,1
CH25H,d63,-0.303709643,1
CH25H,d77,-0.223437883,1
CYCS,d0,2.57705014,1
CYCS,d7,-0.182876572,1
CYCS,d12,0.184247464,1
CYCS,d19,-0.519075527,1
CYCS,d26,-0.518429352,1
CYCS,d33,-0.064791392,1
CYCS,d49,-0.431805774,1
CYCS,d63,-0.429267117,1
CYCS,d77,-0.61505187,1
CYP2B6,d0,2.665347041,1
CYP2B6,d7,-0.35372523,1
CYP2B6,d12,-0.336366916,1
CYP2B6,d19,-0.343629927,1
CYP2B6,d26,-0.294425667,1
CYP2B6,d33,-0.372112408,1
CYP2B6,d49,-0.28744751,1
CYP2B6,d63,-0.371998207,1
CYP2B6,d77,-0.305641177,1
DENR,d0,2.524074014,1
DENR,d7,0.309861801,1
DENR,d12,0.042234211,1
DENR,d19,-0.387900732,1
DENR,d26,-0.23751136,1
DENR,d33,-0.691878573,1
DENR,d49,-0.428985987,1
DENR,d63,-0.456966996,1
DENR,d77,-0.672926378,1
DHCR24,d0,2.346538409,1
DHCR24,d7,-0.876661401,1
DHCR24,d12,-0.93503115,1
DHCR24,d19,-0.686523415,1
DHCR24,d26,-0.263892749,1
DHCR24,d33,-0.04656261,1
DHCR24,d49,-0.134440749,1
DHCR24,d63,0.061862649,1
DHCR24,d77,0.534711016,1
DLST,d0,2.495526488,1
DLST,d7,0.288669644,1
DLST,d12,-0.506775499,1
DLST,d19,0.071611112,1
DLST,d26,-0.672122633,1
DLST,d33,-0.085036532,1
DLST,d49,-0.248701685,1
DLST,d63,-0.717308677,1
DLST,d77,-0.625862217,1
ECE1,d0,2.627824845,1
ECE1,d7,-0.404659388,1
ECE1,d12,-0.607734912,1
ECE1,d19,-0.360966589,1
ECE1,d26,-0.024847608,1
ECE1,d33,-0.196356533,1
ECE1,d49,-0.217116204,1
ECE1,d63,-0.48485341,1
ECE1,d77,-0.3312902,1
ECE2,d0,2.028898995,1
ECE2,d7,-0.489776031,1
ECE2,d12,-0.743654506,1
ECE2,d19,-0.32827934,1
ECE2,d26,-0.168880973,1
ECE2,d33,1.393606887,1
ECE2,d49,-0.425039708,1
ECE2,d63,-0.512829361,1
ECE2,d77,-0.754045963,1
EIF2S1,d0,2.466314829,1
EIF2S1,d7,-0.111344211,1
EIF2S1,d12,0.499292682,1
EIF2S1,d19,-0.626941663,1
EIF2S1,d26,-0.657261583,1
EIF2S1,d33,-0.07005742,1
EIF2S1,d49,-0.303220876,1
EIF2S1,d63,-0.504695668,1
EIF2S1,d77,-0.692086088,1
EPHA1,d0,2.666556097,1
EPHA1,d7,-0.315557427,1
EPHA1,d12,-0.32137576,1
EPHA1,d19,-0.334931991,1
EPHA1,d26,-0.335583785,1
EPHA1,d33,-0.335299064,1
EPHA1,d49,-0.33964605,1
EPHA1,d63,-0.341908337,1
EPHA1,d77,-0.342253682,1
EXOC3L2,d0,2.604755125,1
EXOC3L2,d7,-0.306159744,1
EXOC3L2,d12,0.072339753,1
EXOC3L2,d19,-0.118571755,1
EXOC3L2,d26,-0.282433959,1
EXOC3L2,d33,-0.472472335,1
EXOC3L2,d49,-0.561448605,1
EXOC3L2,d63,-0.619571264,1
EXOC3L2,d77,-0.316437215,1
FGF2,d0,2.6005641,1
FGF2,d7,0.122389852,1
FGF2,d12,-0.226591366,1
FGF2,d19,-0.610109879,1
FGF2,d26,-0.487671696,1
FGF2,d33,-0.558253938,1
FGF2,d49,-0.375419818,1
FGF2,d63,-0.236249267,1
FGF2,d77,-0.228657988,1
GAL,d0,2.666627948,1
GAL,d7,-0.338524297,1
GAL,d12,-0.328756991,1
GAL,d19,-0.322321193,1
GAL,d26,-0.337520164,1
GAL,d33,-0.335436165,1
GAL,d49,-0.339452455,1
GAL,d63,-0.333218622,1
GAL,d77,-0.331398062,1
GALR1,d0,2.664307962,1
GALR1,d7,-0.397609179,1
GALR1,d12,-0.34598809,1
GALR1,d19,-0.347542955,1
GALR1,d26,-0.268957399,1
GALR1,d33,-0.370048786,1
GALR1,d49,-0.3125087,1
GALR1,d63,-0.273987909,1
GALR1,d77,-0.347664943,1
GSR,d0,2.453350114,1
GSR,d7,-1.062128371,1
GSR,d12,-0.399026863,1
GSR,d19,-0.565653217,1
GSR,d26,-0.124117126,1
GSR,d33,-0.559992506,1
GSR,d49,0.011687456,1
GSR,d63,0.207818602,1
GSR,d77,0.03806191,1
HMOX1,d0,2.607192974,1
HMOX1,d7,-0.071561547,1
HMOX1,d12,-0.470047434,1
HMOX1,d19,-0.245808659,1
HMOX1,d26,-0.4843472,1
HMOX1,d33,-0.50560958,1
HMOX1,d49,-0.498008667,1
HMOX1,d63,-0.413657306,1
HMOX1,d77,0.081847418,1
HSP90AA1,d0,0.699620983,1
HSP90AA1,d7,-1.53922592,1
HSP90AA1,d12,0.016549478,1
HSP90AA1,d19,0.674594341,1
HSP90AA1,d26,1.462310933,1
HSP90AA1,d33,-0.858591788,1
HSP90AA1,d49,-0.117382492,1
HSP90AA1,d63,0.763685127,1
HSP90AA1,d77,-1.101560662,1
HSPA4,d0,2.44138373,1
HSPA4,d7,0.265516106,1
HSPA4,d12,0.395458419,1
HSPA4,d19,-0.456061411,1
HSPA4,d26,-0.58251011,1
HSPA4,d33,-0.32727255,1
HSPA4,d49,-0.277345209,1
HSPA4,d63,-0.637838787,1
HSPA4,d77,-0.821330187,1
HTR1A,d0,2.666426761,1
HTR1A,d7,-0.311343781,1
HTR1A,d12,-0.338595647,1
HTR1A,d19,-0.332684706,1
HTR1A,d26,-0.344463533,1
HTR1A,d33,-0.344943862,1
HTR1A,d49,-0.34508307,1
HTR1A,d63,-0.338447259,1
HTR1A,d77,-0.310864903,1
HTT,d0,2.31194076,1
HTT,d7,0.048991984,1
HTT,d12,0.645125629,1
HTT,d19,-0.4516401,1
HTT,d26,0.199861926,1
HTT,d33,-0.477052265,1
HTT,d49,-0.634975463,1
HTT,d63,-0.902211897,1
HTT,d77,-0.740040573,1
IL6,d0,2.61107754,1
IL6,d7,-0.477916647,1
IL6,d12,-0.410429,1
IL6,d19,-0.509193188,1
IL6,d26,-0.508896656,1
IL6,d33,-0.45859881,1
IL6,d49,-0.236143365,1
IL6,d63,0.017839597,1
IL6,d77,-0.02773947,1
LDLR,d0,1.596347837,1
LDLR,d7,-0.413468007,1
LDLR,d12,-0.720854391,1
LDLR,d19,-0.461626921,1
LDLR,d26,-0.140370693,1
LDLR,d33,1.861881735,1
LDLR,d49,-0.394000421,1
LDLR,d63,-0.77524725,1
LDLR,d77,-0.552661891,1
LRP8,d0,2.18959864,1
LRP8,d7,-1.3175862,1
LRP8,d12,-0.591279244,1
LRP8,d19,-0.951684694,1
LRP8,d26,-0.101081667,1
LRP8,d33,0.126813519,1
LRP8,d49,0.384825904,1
LRP8,d63,0.075347525,1
LRP8,d77,0.185046216,1
PIK3CD,d0,2.642257344,1
PIK3CD,d7,-0.192716529,1
PIK3CD,d12,-0.458524975,1
PIK3CD,d19,-0.256243927,1
PIK3CD,d26,-0.581385838,1
PIK3CD,d33,-0.442013911,1
PIK3CD,d49,-0.272582597,1
