ATP10A,CDKL5,DOC2A,GABRA5,GABRB3,HRAS,HTR1A,HTR3A,HTR7,LRFN4,MBP,NETO1,NIPA2,NLGN4X,NLGN4Y,SLC1A1,SNRPN,SNTG2,ATG4C,CTTNBP2,DLG3,DOCK4,GLO1,IQCB1,MCPH1,MTOR,PPCDC,PTER,UPF3B,ZNF232,APBA2,CDH8,DLX1,DRD4,FMR1,GABRB2,GABRG3,HOXA1,HOXB1,IL1RAPL1,LRRN3,NDNL2,NLGN3,NPAS4,NRXN1,PCDH17,PVALB,RBFOX1,SLC6A3,SLC6A8,TSSK3,ABAT,AHI1,ARX,AVPR1A,CDH10,CDH18,CELF3,CHRNA7,CNTN4,EN2,F10,GABRA4,GABRB1,GAMT,GPR37L1,GRIK1,GRIK2,GRIN2B,KCTD13,NIPA1,NLGN1,NLGN2,NRXN2,NRXN3,NXPH1,ROBO3,SHANK3,TLE6,CAPS2,FOXP2,GABRA2,GAD1,IMMP2L,ITGB3,LRFN1,LRFN2,MAOA,MECP2,NBEA,NDN,OXTR,SCN1A,SEZ6L2,SHANK1,STK39,ANK3,ATP13A4,BDNF,BSN,BZRAP1,C3orf58,CACNA1C,CADPS2,CLSTN2,COMT,DISC1,FBXO15,GABBR2,GABRG1,GRM1,GRM5,HTR2A,HTR2C,HTR5A,JAKMIP1,LAMB1,LRFN3,LRFN5,MARK1,NPS,NRCAM,NTF3,PI4KA,PTEN,RELN,SCAMP5,SEMA5A,SLC18A1,SORCS2,TBR1,TPH1,VIPR2,WNT2,ZNF804A,,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0.479,0.582,0,0,0,0,0,0,0,0.508,0,0,0,0.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.573300025,-0.346944921,-0.517700379,-0.460876973,-0.418264488,-0.559496124,-0.476207787,-0.040645235,0.246835882,
0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.214240735,0.709413422,-0.163192354,-0.921639547,-0.380516331,-0.126029369,-0.207376773,-1.226316745,0.101416962,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.286926867,-0.069294298,-0.489548779,0.771274284,-0.268098869,-0.012953613,-0.478801746,-1.111008066,-0.628495779,
0.479,0,0,0,0.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,0.915,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.658957078,-0.41202719,-0.3787268,-0.367655018,-0.375447477,-0.295920752,-0.330761529,-0.347781862,-0.15063645,
0.582,0,0,0.916,0,0,0,0,0,0,0,0,0,0.443,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0.9,0.911,0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912,0.901,0,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0,0,0,0.911,0.601,0,0,0,0,0,0,0,0.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718,0.575,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.658933175,-0.364274625,-0.311185872,-0.355616939,-0.401736235,-0.411977528,-0.365821083,-0.289886981,-0.158433912,
0,0,0,0,0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0,0,0,0,0,0,0.919,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0.448,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0.467,0,0,0,0.916,0,0.932,0,0,0,0,0,0,0,0,0.645,0,0,1,2.609768107,-0.294985293,-0.372717439,-0.228364672,-0.510367888,-0.656434719,-0.220469,-0.405865442,0.079436345,
0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.519,0,0,0.638,0,0.454,0.534,0,0,0.91,0,0,0,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0,1,2.666426761,-0.311343781,-0.338595647,-0.332684706,-0.344463533,-0.344943862,-0.34508307,-0.338447259,-0.310864903,
0,0,0,0,0,0,0.91,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0,0,0,0,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898,0.893,0.762,0,0,0,0,0,0.568,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0,1,2.665114346,-0.330933937,-0.357061265,-0.344203325,-0.362526763,-0.381488016,-0.324277515,-0.273227485,-0.29139604,
0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811,0,0,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,0.565,0,0,0,0,0.493,0.52,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0.452,0,0,0.824,0.92,0,0,0,1,2.648424098,-0.388587844,-0.405365679,-0.376315676,-0.40957099,-0.39488549,-0.372082064,-0.254007603,-0.04760875,
0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.221501472,-0.147209896,-1.246624832,0.310414452,-1.033400728,-0.281553237,0.38685553,0.087280541,-0.297263302,
