Gene_Symbol,Day,Value,Cluster
ATP10A,d0,2.573300025,1
ATP10A,d7,-0.346944921,1
ATP10A,d12,-0.517700379,1
ATP10A,d19,-0.460876973,1
ATP10A,d26,-0.418264488,1
ATP10A,d33,-0.559496124,1
ATP10A,d49,-0.476207787,1
ATP10A,d63,-0.040645235,1
ATP10A,d77,0.246835882,1
CDKL5,d0,2.214240735,1
CDKL5,d7,0.709413422,1
CDKL5,d12,-0.163192354,1
CDKL5,d19,-0.921639547,1
CDKL5,d26,-0.380516331,1
CDKL5,d33,-0.126029369,1
CDKL5,d49,-0.207376773,1
CDKL5,d63,-1.226316745,1
CDKL5,d77,0.101416962,1
DOC2A,d0,2.286926867,1
DOC2A,d7,-0.069294298,1
DOC2A,d12,-0.489548779,1
DOC2A,d19,0.771274284,1
DOC2A,d26,-0.268098869,1
DOC2A,d33,-0.012953613,1
DOC2A,d49,-0.478801746,1
DOC2A,d63,-1.111008066,1
DOC2A,d77,-0.628495779,1
GABRA5,d0,2.658957078,1
GABRA5,d7,-0.41202719,1
GABRA5,d12,-0.3787268,1
GABRA5,d19,-0.367655018,1
GABRA5,d26,-0.375447477,1
GABRA5,d33,-0.295920752,1
GABRA5,d49,-0.330761529,1
GABRA5,d63,-0.347781862,1
GABRA5,d77,-0.15063645,1
GABRB3,d0,2.658933175,1
GABRB3,d7,-0.364274625,1
GABRB3,d12,-0.311185872,1
GABRB3,d19,-0.355616939,1
GABRB3,d26,-0.401736235,1
GABRB3,d33,-0.411977528,1
GABRB3,d49,-0.365821083,1
GABRB3,d63,-0.289886981,1
GABRB3,d77,-0.158433912,1
HRAS,d0,2.609768107,1
HRAS,d7,-0.294985293,1
HRAS,d12,-0.372717439,1
HRAS,d19,-0.228364672,1
HRAS,d26,-0.510367888,1
HRAS,d33,-0.656434719,1
HRAS,d49,-0.220469,1
HRAS,d63,-0.405865442,1
HRAS,d77,0.079436345,1
HTR1A,d0,2.666426761,1
HTR1A,d7,-0.311343781,1
HTR1A,d12,-0.338595647,1
HTR1A,d19,-0.332684706,1
HTR1A,d26,-0.344463533,1
HTR1A,d33,-0.344943862,1
HTR1A,d49,-0.34508307,1
HTR1A,d63,-0.338447259,1
HTR1A,d77,-0.310864903,1
HTR3A,d0,2.665114346,1
HTR3A,d7,-0.330933937,1
HTR3A,d12,-0.357061265,1
HTR3A,d19,-0.344203325,1
HTR3A,d26,-0.362526763,1
HTR3A,d33,-0.381488016,1
HTR3A,d49,-0.324277515,1
HTR3A,d63,-0.273227485,1
HTR3A,d77,-0.29139604,1
HTR7,d0,2.648424098,1
HTR7,d7,-0.388587844,1
HTR7,d12,-0.405365679,1
HTR7,d19,-0.376315676,1
HTR7,d26,-0.40957099,1
HTR7,d33,-0.39488549,1
HTR7,d49,-0.372082064,1
HTR7,d63,-0.254007603,1
HTR7,d77,-0.04760875,1
MBP,d0,2.171191182,1
MBP,d7,-0.732464923,1
MBP,d12,-0.688360691,1
MBP,d19,-0.595814804,1
MBP,d26,-0.684968673,1
MBP,d33,-0.479255047,1
MBP,d49,-0.243985092,1
MBP,d63,0.193030218,1
MBP,d77,1.06062783,1
NIPA2,d0,2.534033472,1
NIPA2,d7,0.154624538,1
NIPA2,d12,0.046777227,1
NIPA2,d19,-0.407854805,1
NIPA2,d26,-0.841685382,1
NIPA2,d33,-0.115981532,1
NIPA2,d49,-0.377556655,1
NIPA2,d63,-0.374912469,1
NIPA2,d77,-0.617444395,1
NLGN4X,d0,2.646007589,1
NLGN4X,d7,-0.15664542,1
NLGN4X,d12,-0.223633051,1
NLGN4X,d19,-0.463463334,1
NLGN4X,d26,-0.315997515,1
NLGN4X,d33,-0.408950131,1
NLGN4X,d49,-0.167582527,1
NLGN4X,d63,-0.44245683,1
NLGN4X,d77,-0.467278781,1
NLGN4Y,d0,2.635352068,1
NLGN4Y,d7,-0.263880109,1
NLGN4Y,d12,-0.30005792,1
NLGN4Y,d19,-0.433554891,1
NLGN4Y,d26,-0.188806605,1
NLGN4Y,d33,-0.414808246,1
NLGN4Y,d49,-0.03607493,1
NLGN4Y,d63,-0.492159705,1
NLGN4Y,d77,-0.506009662,1
SLC1A1,d0,2.639521937,1
SLC1A1,d7,-0.210586706,1
SLC1A1,d12,-0.201805694,1
SLC1A1,d19,-0.216024075,1
SLC1A1,d26,-0.183519336,1
SLC1A1,d33,-0.548531171,1
SLC1A1,d49,-0.481378065,1
SLC1A1,d63,-0.307322324,1
SLC1A1,d77,-0.490354566,1
SNRPN,d0,2.651360888,1
SNRPN,d7,-0.446815954,1
SNRPN,d12,-0.34589185,1
SNRPN,d19,-0.317843193,1
SNRPN,d26,-0.521935094,1
