BARX1,DHCR7,FOXA2,FOXH1,GLI1,HESX1,LHX4,LSS,NODAL,PWP2,TDGF1,TRAPPC10,ACVR1C,GLI2,SOX2,TGIF1,BMP4,BOC,CDON,CHRD,DISP1,GAS1,GLI3,OTX2,PTCH1,SIX6,SMO,SOX3,WNT1,ZIC2,ZIC5,EN2,FGF8,FOXG1,MSX2,NOG,SIX3,TBX19,ZIC1,KIF27,VAX1,DYNC2H1,GDF1,HHIP,IFT172,INHBB,TGFB1,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.278979539,-0.387683985,-0.563252878,-0.34512829,2.138837689,-0.418110163,-0.381555582,-0.595615482,-0.726470848,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.362360643,-0.716029786,-0.873669541,-0.496164518,0.165638455,1.969145301,-0.382069544,-0.658155198,-0.371055811,
0,0,0,0,0.988,0,0,0,0,0,0,0,0,0,0,0,0.514,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,0,0.677,0,0,0,0,0,0,0,0,0,0,1,2.6605894,-0.197901791,-0.405050035,-0.302810671,-0.413838595,-0.33189984,-0.371321729,-0.2760688,-0.361697939,
0,0,0,0,0,0,0,0,0.436,0,0.411,0,0.428,0,0,0.648,0.504,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0,0,0,0.516,0,0,0,0.402,1,2.663799814,-0.35540012,-0.39889375,-0.388502396,-0.343147951,-0.343584145,-0.280176813,-0.276374374,-0.277720265,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.649370551,-0.486099069,-0.514671341,-0.330095449,-0.308073697,-0.203042695,-0.280455843,-0.355861193,-0.171071262,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0,1,1.523754147,-1.111099968,-1.557456575,0.012723998,0.798951829,0.634066737,0.147726551,0.429485645,-0.878152363,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861,0,0,1,2.5007587,-0.423538408,-0.543466957,-0.548939512,-0.51084378,-0.518973961,-0.356110798,-0.140451056,0.54156577,
0,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.414494878,-0.86083913,-0.897407697,-0.168017924,0.179927451,0.340174499,-0.448661019,-0.491489427,-0.06818163,
0,0,0,0,0,0,0,0,0,0,0,0,0.919,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.66645052,-0.316780981,-0.328930841,-0.320160949,-0.334462216,-0.328966546,-0.347386732,-0.358022938,-0.331739317,
0,0,0,0,0,0,0,0,0,0,0,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.501319409,0.398636986,0.060572948,-0.256885353,-0.503512501,-0.668577235,-0.621283037,-0.538863704,-0.371407512,
