CRK,LRP8,MGAT4C,NUDC,WDR62,ZWILCH,DAG1,DNAH14,KIAA0101,LMNB2,MAPRE1,MCPH1,PAFAH1B2,PLA2G7,TUBB2B,YWHAE,ZW10,DPM3,EMX2,LMO1,MAP2,PVALB,ARX,GPR56,SRPX2,TUBA1A,DCDC1,DNAH12,DNAH5,MAPRE3,MAPT,POMT1,POMT2,PPP1R9B,SPATA13,CALB2,CAMK2B,DCX,DISC1,DNAH9,IPO13,KIF5A,LAMA2,RELN,TBR1,VLDLR,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.411480246,0.119124604,0.425624835,-0.715302889,-0.975396426,-0.482245717,-0.104200348,-0.177735096,-0.50134921,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0,0.905,1,2.18959864,-1.3175862,-0.591279244,-0.951684694,-0.101081667,0.126813519,0.384825904,0.075347525,0.185046216,
0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.521718619,-0.656711115,-0.656058799,-0.556912304,-0.526673016,0.332689403,-0.151309441,-0.078892614,-0.227850733,
0,0,0,0,0,0.912,0,0,0,0,0.899,0,0,0,0,0,0.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.153096141,-1.074406898,-1.273664666,0.478092267,-0.55101501,0.166181122,0.049380367,0.135692849,-0.083356172,
0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.368914324,0.287609554,0.632115734,-0.316830227,-0.477077993,-0.557807614,-0.541519015,-0.698464085,-0.696940678,
0,0,0,0.912,0,0,0,0.427,0.757,0,0.906,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.531487107,0.295556253,0.072343239,-0.262580915,-0.356150215,-0.574614113,-0.530326756,-0.570335696,-0.605378903,
0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0,0,0.619,0,0,0,0,0.627,0,0,0,0,0,0.954,0.792,0,0,0,0,0,0,0,0,0,0.997,0,0,0,2,1.905079986,1.476192578,0.047854187,-0.624433669,-0.555512589,-0.209675743,-0.704258105,-0.839871478,-0.495375168,
0,0,0,0,0,0.427,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0.657,0.5,0,0,0,0,0,0,0,0,0,0,0.621,0,0,0,0,0,0,2,1.867642803,0.385322003,-0.253451085,-0.036075581,0.383811662,0.438906966,-0.201796333,-0.754701608,-1.829658826,
0,0,0,0,0,0.757,0,0,0,0.587,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.015324383,0.79931165,0.730828383,-0.619934568,0.144029233,-0.791911698,-0.707604056,-0.780049731,-0.789993597,
0,0,0,0,0,0,0,0,0.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.165777691,0.744712046,0.539599651,-0.194287501,-0.218524678,-0.666827413,-0.592573963,-0.919910244,-0.857965588,
0,0,0,0.899,0,0.906,0,0,0,0,0,0,0,0,0,0.927,0.901,0,0,0,0,0,0,0,0,0.527,0,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.027908133,1.673983904,1.080251699,-0.582843643,-0.360535859,-0.45684656,-0.288044761,-0.945162795,-1.148710118,
