ACTB,ADCY2,APBA3,APOC1,ARC,BAX,C1QB,CASP3,CBS,CDR2,CH25H,CYCS,CYP2B6,DENR,DHCR24,DLST,ECE1,ECE2,EIF2S1,EPHA1,EXOC3L2,FGF2,GAL,GALR1,GSR,HMOX1,HSP90AA1,HSPA4,HTR1A,HTT,IL6,LDLR,LRP8,OPA1,PIK3CD,PPIF,PREP,RAC3,RBFOX3,RTN4,RTN4R,SCARB1,SERPINE2,TFRC,TKT,TOMM40,TP53,VCP,VGF,ZMPSTE24,APOE,BLMH,CASP6,CTNNA3,DBN1,DNM1L,ENO1,GGA3,HSD17B10,MTA2,MTOR,NGFR,NPC1,PARP1,PHF6,PON1,SIRT1,SORL1,TARDBP,TFCP2,THOP1,YWHAQ,ADAM17,ALOX5,AOC3,APBA2,C2,CA14,CA4,ENO2,ESR2,FOS,FYN,GAB2,GDNF,GLUL,GPC1,GRIA1,HSPB2,LRP2,MAP2,MFI2,NOS3,NPY,PSEN1,PTGS1,PVALB,RTN4RL1,SERPINB1,SIRT4,SLC6A3,SNCG,SST,ADAMTS2,AIF1,APBB1,APLP1,BACE1,CDR1,CTNND2,CTSS,CYP2D6,CYP46A1,DDIT3,FLOT1,GAP43,GRIK1,GRIN2A,GRIN2B,GSTA4,HIST1H1C,HM13,IAPP,IL1A,IL1B,MS4A6A,MTHFR,PARK2,PHF1,PPARG,RAB3A,SDC2,SNCA,SYVN1,TF,TTBK1,TUBA1A,ABCA1,ABCA2,ABCA7,ADAM9,APLP2,BIN1,CALB1,CAST,CHRNA4,CLU,CST3,CTSB,DECR1,GALR2,GSN,MAOA,MAPT,MS4A6E,NCSTN,PSENEN,RCAN1,SIRT3,VPS35,ACE,APBA1,APOD,APP,BACE2,BCHE,BDNF,CAT,CCL2,CD44,CDK5R1,CHAT,CHRM2,CNTF,COLQ,CP,CRH,CRYAB,CTSD,DCX,FSIP1,FTH1,GFAP,GRN,GSTA3,IGF1,ITM2B,KLK6,MAOB,MSRA,MT3,NGF,NPS,NTF3,PCSK1N,PLA2G1B,PRNP,RELN,SDF4,SLC17A7,SLC18A3,SLC1A2,SLC1A3,SNAP25,SNAP91,SYN1,SYP,TGFB1,TGM2,TNK1,TSPO,TYR,VLDLR,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0.429,0,0,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0,0.494,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,0,0,0,0,0,0,0.668,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0.615,0,0,1,2.56456966,0.150105171,-0.062102261,-0.207407321,-0.747372954,-0.34895873,-0.274348585,-0.639006303,-0.435478677,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0.938,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0.511,0.953,0,0,0,0,0,0,0.462,0,0.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,0.469,0,0,0,0.419,0,0,0.916,0,0,0,0,0,0,0,0,0.951,0,0,0,0.951,0,0,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613,0.515,0,1,1.265821499,-1.61489463,1.122738638,0.43022826,0.838268931,-0.042190419,-0.231915002,-0.991033772,-0.777023504,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.143711342,0.283977678,-0.106353227,0.769547139,-0.238667527,-0.243211282,-1.268658371,-0.889801211,-0.450544541,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.550110357,0.245882418,-0.265055114,-0.158122912,-0.290347465,-0.161707085,-0.623085966,-0.632167191,-0.665507043,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.620837678,-0.349352672,0.101332239,-0.358635475,-0.546528991,-0.3758586,-0.498202745,-0.242344126,-0.351247309,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864,0,0,0,0,0.884,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.626,0.998,0,0,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,0,0,0,0,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0,1,2.064481916,-0.65475263,0.784289045,0.078134602,0.40375208,-0.015433357,-0.555023445,-1.041814191,-1.063634019,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.621377351,-0.454095559,-0.454095559,-0.454095559,-0.131032996,-0.454095559,0.05743847,-0.454095559,-0.277305031,
0,0,0,0,0,0.869,0,0,0,0,0,0.905,0,0,0,0,0,0,0.743,0,0,0.516,0,0,0.424,0.563,0,0.657,0,0,0.651,0,0,0,0,0.465,0,0.463,0,0,0,0,0,0,0,0,0.788,0,0,0,0.425,0,0.984,0,0,0,0,0,0,0,0,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0.419,0,0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906,0,0,0,0,0.514,0,0.908,0,0,0.461,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0,0,0,0.645,0.424,0.43,0,0,0,0,0,0,0,0.748,0.502,0,0,0,0.647,0,0.508,0.613,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0.543,0,1,2.625959262,-0.637561803,-0.292300378,-0.023828783,-0.521711466,-0.341646912,-0.292051339,-0.213292095,-0.303566485,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515,0.501,0,1,2.660008241,-0.20505251,-0.305799344,-0.38075897,-0.251341879,-0.425237111,-0.383459207,-0.384939154,-0.323420066,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,1,1.457792947,-1.312655659,-0.432373561,-0.283296714,-0.537714659,1.823839338,-0.047579751,-0.186255974,-0.481755968,
